country;year;life_ladder;log_gdp_per_capita;social_support;life_expec;freedom_to_make_life_choices;generosity;perceptions_of_corruption;positive_affect;negative_affect;confidence_in_national_government;democratic_quality;delivery_quality;standard_deviation_of_ladder_by_country_year;standard_deviation_mean_of_ladder_by_country_year;gini_index_world_bank_estimate;gini_index_world_bank_estimate_average_2000_15;gini_of_household_income_reported_in_gallup_by_wp5_year;continent;country_code;populacao_2020
Germany;2017;7,07432460784912;10,71118354797363;0,892166078090668;71,0791015625000;0,840727865695953;0,13530753552913666;0,414021193981171;0,736565709114075;0,196434810757637;0,622935652732849;NA;NA;1,44173026084900;0,203797578811646;NA;0,311571428571429;0,319597333669662;Europe;276;83783,945
Ghana;2017;5,48131084442139;8,32697105407715;0,669111073017120;54,8658905029297;0,783046364784241;0,08499047905206680;0,838609993457794;0,702511727809906;0,247518941760063;0,670288562774658;NA;NA;2,55111956596375;0,465421438217163;NA;0,425000000000000;0,501201510429382;Africa;288;31072,945
Greece;2017;5,14824151992798;10,11751747131348;0,752899527549744;71,7803421020508;0,438300013542175;-0,29673498868942261;0,872239470481873;0,602939009666443;0,332830756902695;0,139880895614624;NA;NA;2,41163110733032;0,468437820672989;NA;0,346909090909091;0,346705943346024;Europe;300;10423,056
Guatemala;2017;6,32511854171753;8,91890811920166;0,826492071151733;63,3819770812988;0,914521694183350;-0,06172860041260719;0,799747884273529;0,845865786075592;0,308086156845093;0,458623856306076;NA;NA;2,85894608497620;0,451998800039291;NA;0,526750000000000;0,495318561792374;Americas;320;17915,567
Guinea;2017;4,87372255325317;7,52747726440430;0,634025573730469;51,1518173217773;0,738212823867798;0,05430758371949196;0,750026226043701;0,704477131366730;0,422460883855820;0,639980792999268;NA;NA;2,96993541717529;0,609377205371857;NA;0,387000000000000;0,618353307247162;Africa;324;13132,792
Haiti;2017;3,82386565208435;7,40317630767822;0,646984994411469;53,3470077514648;0,484429150819778;0,38451030850410461;0,647191584110260;0,573366701602936;0,321692764759064;0,435076951980591;NA;NA;2,15694499015808;0,564074456691742;NA;0,409000000000000;0,574473023414612;Americas;332;11402,533
Honduras;2017;6,01998567581177;8,40437984466553;0,843354940414429;63,7526702880859;0,898377418518066;0,08007407188415527;0,783429443836212;0,842200934886932;0,248383343219757;0,495585024356842;NA;NA;2,96358609199524;0,492291212081909;NA;0,555600000000000;0,561559021472931;Americas;340;9904,608
Czechia;2017;5,36247491836548;10,91716670989990;0,831066310405731;76,5363616943359;0,830657243728638;0,12293470650911331;0,415810197591782;0,639533460140228;0,200593411922455;0,545040726661682;NA;NA;1,78455948829651;0,332786530256271;NA;NA;0,471278399229050;Europe;203;10708,982
Hungary;2017;6,06503868103027;10,19323825836182;0,876747548580170;67,1933670043945;0,661165952682495;-0,15079303085803986;0,886361300945282;0,735184252262115;0,180921271443367;0,377770513296127;NA;NA;1,79240918159485;0,295531362295151;NA;0,296818181818182;0,330753207206726;Europe;348;9660,350
Iceland;2017;7,47621393203735;10,76040935516357;0,966752827167511;72,7559814453125;0,938783288002014;0,23547871410846710;0,726845383644104;0,895254552364349;0,148160010576248;0,365041941404343;NA;NA;1,63009083271027;0,218036949634552;NA;0,280090909090909;0,332437902688980;Europe;352;341,250
India;2017;4,04611110687256;8,76845645904541;0,606767475605011;59,5026283264160;0,885850429534912;-0,05450280010700226;0,780802786350250;0,682090997695923;0,317936778068542;0,839278399944305;NA;NA;1,65982758998871;0,410227894783020;NA;0,352000000000000;0,380112171173096;Asia;356;1380004,385
Indonesia;2017;5,09840154647827;9,32216739654541;0,795589208602905;60,5844154357910;0,865026295185089;0,47297385334968567;0,900416433811188;0,862584173679352;0,319171577692032;0,825765371322632;NA;NA;2,32517910003662;0,456060409545898;NA;0,395000000000000;0,449708253145218;Asia;360;273523,621
Iran;2017;4,71678304672241;9,85344886779785;0,714232921600342;65,9645538330078;0,730635166168213;0,18273511528968811;0,714941322803497;0,693666040897369;0,438533902168274;NA;NA;NA;2,49717903137207;0,529424190521240;NA;0,413200000000000;0,852039635181427;Asia;364;83992,953
Iraq;2017;4,46239900588989;9,62271976470947;0,695109367370605;61,0458450317383;0,627722024917603;-0,03842903301119804;0,757108807563782;0,505288541316986;0,590538740158081;0,424050778150558;NA;NA;2,89948487281799;0,649759232997894;NA;0,290500000000000;0,550368130207062;Asia;368;40222,503
Ireland;2017;7,06015539169312;11,06648731231689;0,943481981754303;71,7097854614258;0,905341148376465;0,20680174231529236;0,337084740400314;0,833388924598694;0,212784126400948;0,603799641132355;NA;NA;1,76133441925049;0,249475300312042;NA;0,325545454545455;0,367454171180725;Europe;372;4937,796
Israel;2017;7,33103609085083;10,40613174438477;0,916440844535828;71,8650817871094;0,768076300621033;0,13715851306915283;0,792652249336243;0,673591315746307;0,276443153619766;0,389368146657944;NA;NA;1,52268290519714;0,207703649997711;NA;0,411000000000000;0,245601236820221;Asia;376;8655,541
Italy;2017;6,19887018203735;10,47247409820557;0,919791221618652;74,1347961425781;0,632843255996704;-0,04338070377707481;0,866667926311493;0,661180734634399;0,322846144437790;0,230196297168732;NA;NA;1,92724657058716;0,310902863740921;NA;0,341272727272727;0,346708387136459;Europe;380;60461,828
Jamaica;2017;5,88975906372070;9,02586460113525;0,913029849529266;65,8187942504883;0,860676348209381;-0,13083273172378540;0,882796168327332;0,769282162189484;0,243399634957314;0,348201751708984;NA;NA;2,39933776855469;0,407374531030655;NA;0,469000000000000;0,564535260200500;Americas;388;2961,161
Japan;2017;5,91067647933960;10,56816864013672;0,881961286067963;75,3172912597656;0,849396586418152;-0,22329679131507874;0,659198641777039;0,740387618541718;0,175512179732323;0,412489950656891;NA;NA;1,95025694370270;0,329954952001572;NA;0,321000000000000;0,426153689622879;Asia;392;126476,458
Jordan;2017;4,80808258056641;9,02533340454102;0,814664542675018;64,4178771972656;0,766262471675873;-0,15152287483215332;NA;0,627798378467560;0,391505181789398;NA;NA;NA;2,52389240264893;0,524927020072937;NA;0,343000000000000;0,363606214523315;Asia;400;10203,140
Kazakhstan;2017;5,88235139846802;10,07187080383301;0,914093196392059;64,1999969482422;0,745243966579437;-0,04917849227786064;0,755250692367554;0,756762206554413;0,171486407518387;0,755705773830414;NA;NA;1,74532377719879;0,296705126762390;NA;0,295066666666667;0,337242871522903;Asia;398;18776,707
Kenya;2017;4,47565412521362;8,01025485992432;0,714604318141937;58,6898384094238;0,853394389152527;0,25017926096916199;0,854000389575958;0,788452208042145;0,230210304260254;0,637862563133240;NA;NA;2,53236341476440;0,565808534622192;NA;0,485000000000000;0,521331965923309;Africa;404;53771,300
Kuwait;2017;6,09390544891357;11,11179256439209;0,853491306304932;65,3789596557617;0,884181618690491;-0,04850428923964500;NA;0,692071914672852;0,307320803403854;NA;NA;NA;2,35575318336487;0,386575281620026;NA;NA;0,591861426830292;Asia;414;4270,563
Kyrgyzstan;2017;5,62953662872314;8,11204051971436;0,882586658000946;62,8996467590332;0,859389781951904;0,16666737198829651;0,874494493007660;0,755125224590302;0,160438314080238;0,561672747135162;NA;NA;1,90139102935791;0,337752670049667;NA;0,306375000000000;0,382150888442993;Asia;417;6524,191
Laos;2017;4,62314081192017;8,70856761932373;0,707335770130157;57,8695755004883;0,891000747680664;0,07648259401321411;0,591616809368134;0,872791767120361;0,344225883483887;0,839935004711151;NA;NA;1,88197386264801;0,407076895236969;NA;0,348000000000000;0,585087001323700;Asia;418;7275,556
Latvia;2017;5,97781753540039;10,13303279876709;0,895098745822906;65,1092605590820;0,699520111083984;-0,16383144259452820;0,798378109931946;0,623312771320343;0,231753110885620;0,264000505208969;NA;NA;1,81480312347412;0,303589582443237;NA;0,362000000000000;0,362185239791870;Europe;428;1886,202
Lebanon;2017;5,15398979187012;9,49157905578613;0,776583015918732;68,8638916015625;0,604554176330566;-0,07502814382314682;0,910727262496948;0,515443921089172;0,243549212813377;0,217718094587326;NA;NA;1,92976760864258;0,374422073364258;NA;0,318000000000000;0,326644003391266;Asia;422;6825,442
Liberia;2017;4,42449092864990;6,62941408157349;0,684866845607758;52,7868499755859;0,733389914035797;0,04057675972580910;0,866806387901306;0,667946457862854;0,391330540180206;0,554991543292999;NA;NA;3,39373993873596;0,767035126686096;NA;0,348500000000000;0,590849876403809;Africa;430;5057,677
Libya;2017;5,64685249328613;NA;0,822758793830872;61,4847068786621;0,778695881366730;NA;0,673065543174744;0,697049319744110;0,379374176263809;NA;NA;NA;2,50778794288635;0,444103688001633;NA;NA;0,586069345474243;Africa;434;6871,287
Lithuania;2017;6,27294063568115;10,28265762329102;0,926316618919373;67,0416946411133;0,749307334423065;-0,18227662146091461;NA;0,607613146305084;0,195118829607964;0,321247279644012;NA;NA;2,17580437660217;0,346855580806732;NA;0,353090909090909;0,428504139184952;Europe;440;2722,291
Luxembourg;2017;7,06138086318970;11,46523094177246;0,905435502529144;72,2013092041016;0,902821719646454;0,02977144531905651;0,330173581838608;0,765816867351532;0,184467002749443;0,738922059535980;NA;NA;1,42447590827942;0,201727673411369;NA;0,315363636363636;0,292349696159363;Europe;442;625,976
Madagascar;2017;4,07862043380737;7,24925327301025;0,626331984996796;56,9944839477539;0,570347905158997;-0,02550791203975677;0,847260773181915;0,751698076725006;0,374838024377823;0,541916131973267;NA;NA;2,32891488075256;0,571005523204803;NA;0,431000000000000;0,578316509723663;Africa;450;27691,019
Malawi;2017;3,41686296463013;7,00270318984985;0,555422723293304;54,2346420288086;0,847920775413513;0,02156005799770355;0,734636604785919;0,608666539192200;0,312088340520859;0,620332539081573;NA;NA;2,76029324531555;0,807844281196594;NA;0,430000000000000;0,574055969715118;Africa;454;19129,955
Mali;2017;4,74185037612915;7,60855913162231;0,741359412670135;49,1786994934082;0,753213346004486;-0,06454728543758392;0,862655162811279;0,741835772991180;0,392784148454666;0,504820108413696;NA;NA;2,51166796684265;0,529680967330933;NA;0,372666666666667;0,549026548862457;Africa;466;20250,834
Malta;2017;6,67566585540771;10,50269985198975;0,937331795692444;71,8295135498047;0,923642933368683;0,24176245927810669;0,690494537353516;0,720753371715546;0,302443116903305;0,752005159854889;NA;NA;1,99455034732819;0,298779249191284;NA;NA;0,419637620449066;Europe;470;441,539
Mauritania;2017;4,67815971374512;8,18770790100098;0,779225230216980;53,3353385925293;0,527446806430817;-0,13476562500000000;0,777314066886902;0,637107074260712;0,272321939468384;0,292109727859497;NA;NA;2,13054990768433;0,455424785614014;NA;0,368250000000000;0,433928310871124;Africa;478;4649,660
Mauritius;2017;6,17411756515503;9,91465473175049;0,910142242908478;65,5891571044922;0,912307500839233;0,07392941415309906;0,818179905414581;0,747760176658630;0,168721184134483;0,614670753479004;NA;NA;2,24779057502747;0,364066690206528;NA;0,357500000000000;0,415626823902130;Africa;480;1271,767
